ID,Party,desc,label,name,acquired_datestamp
35,,"AFFORDABLE HOUSING BONDS: Shall the City of Las Cruces issue general obligation bonds, payable from property taxes, in an amount up to $6,000,000, and placed into the Affordable Housing Trust Fund, to provide resources to plan, design, construct, acquire, and preserve housing affordable for low to moderate income households, including acquisition of necessary land?","No Affordable Housing Bonds: Shall The City Of Las Cruces Issue General Obligation Bonds, Payable From Property Taxes, In An Amount Up To $6,000,000, And Placed Into The Affordable Housing Trust Fund, To Provide Resources To Plan, Design, Construct, Acquire, And Preserve Housing Affordable For Low To Moderate Income Households, Including Acquisition Of Necessary Land?",No,2022-11-08-222232
35,,"AFFORDABLE HOUSING BONDS: Shall the City of Las Cruces issue general obligation bonds, payable from property taxes, in an amount up to $6,000,000, and placed into the Affordable Housing Trust Fund, to provide resources to plan, design, construct, acquire, and preserve housing affordable for low to moderate income households, including acquisition of necessary land?","Yes Affordable Housing Bonds: Shall The City Of Las Cruces Issue General Obligation Bonds, Payable From Property Taxes, In An Amount Up To $6,000,000, And Placed Into The Affordable Housing Trust Fund, To Provide Resources To Plan, Design, Construct, Acquire, And Preserve Housing Affordable For Low To Moderate Income Households, Including Acquisition Of Necessary Land?",Yes,2022-11-08-222232
36,,"Amendment  of Dedication of Gross Receipts Tax Revenues - Acquisition, Construction and Improvement: Shall the County Commissioners of McKinley County enact an ordinance amending an existing one-fourth of one percent (1/4%) local option gross receipts tax to change the dedication from acquisition, construction and improvement of (I) public buildings and facilities, (II) water, wastewater and solid waste systems, (III) County jail, juvenile detention facility and County correctional facility, (IV) Roads, streets or bridges, (V) airport facilities, and (VI) open space, public parks or pubic recre - McKinley","No Amendment  Of Dedication Of Gross Receipts Tax Revenues - Acquisition, Construction And Improvement: Shall The County Commissioners Of Mckinley County Enact An Ordinance Amending An Existing One-Fourth Of One Percent (1/4%) Local Option Gross Receipts Tax To Change The Dedication From Acquisition, Construction And Improvement Of (I) Public Buildings And Facilities, (Ii) Water, Wastewater And Solid Waste Systems, (Iii) County Jail, Juvenile Detention Facility And County Correctional Facility, (Iv) Roads, Streets Or Bridges, (V) Airport Facilities, And (Vi) Open Space, Public Parks Or Pubic Recre - Mckinley",No,2022-11-08-222232
36,,"Amendment  of Dedication of Gross Receipts Tax Revenues - Acquisition, Construction and Improvement: Shall the County Commissioners of McKinley County enact an ordinance amending an existing one-fourth of one percent (1/4%) local option gross receipts tax to change the dedication from acquisition, construction and improvement of (I) public buildings and facilities, (II) water, wastewater and solid waste systems, (III) County jail, juvenile detention facility and County correctional facility, (IV) Roads, streets or bridges, (V) airport facilities, and (VI) open space, public parks or pubic recre - McKinley","Yes Amendment  Of Dedication Of Gross Receipts Tax Revenues - Acquisition, Construction And Improvement: Shall The County Commissioners Of Mckinley County Enact An Ordinance Amending An Existing One-Fourth Of One Percent (1/4%) Local Option Gross Receipts Tax To Change The Dedication From Acquisition, Construction And Improvement Of (I) Public Buildings And Facilities, (Ii) Water, Wastewater And Solid Waste Systems, (Iii) County Jail, Juvenile Detention Facility And County Correctional Facility, (Iv) Roads, Streets Or Bridges, (V) Airport Facilities, And (Vi) Open Space, Public Parks Or Pubic Recre - Mckinley",Yes,2022-11-08-222232
37,,"Amendment of Dedication of Gross Receipts Tax Revenues - Financing the Operational  Expenses: Shall the County Commissioners of McKinley County enact an ordinance amending an existing one-fourth of one percent (1/4%) local option gross receipts tax to change the dedication from financing the operational expenses, ambulance and/or ems services, or capital outlay costs of volunteer fire districts or volunteer ems districts or ambulance services to 100% of said gross receipts tax revenues dedicated for any county purposes? - McKinley","No Amendment Of Dedication Of Gross Receipts Tax Revenues - Financing The Operational  Expenses: Shall The County Commissioners Of Mckinley County Enact An Ordinance Amending An Existing One-Fourth Of One Percent (1/4%) Local Option Gross Receipts Tax To Change The Dedication From Financing The Operational Expenses, Ambulance And/Or Ems Services, Or Capital Outlay Costs Of Volunteer Fire Districts Or Volunteer Ems Districts Or Ambulance Services To 100% Of Said Gross Receipts Tax Revenues Dedicated For Any County Purposes? - Mckinley",No,2022-11-08-222232
37,,"Amendment of Dedication of Gross Receipts Tax Revenues - Financing the Operational  Expenses: Shall the County Commissioners of McKinley County enact an ordinance amending an existing one-fourth of one percent (1/4%) local option gross receipts tax to change the dedication from financing the operational expenses, ambulance and/or ems services, or capital outlay costs of volunteer fire districts or volunteer ems districts or ambulance services to 100% of said gross receipts tax revenues dedicated for any county purposes? - McKinley","Yes Amendment Of Dedication Of Gross Receipts Tax Revenues - Financing The Operational  Expenses: Shall The County Commissioners Of Mckinley County Enact An Ordinance Amending An Existing One-Fourth Of One Percent (1/4%) Local Option Gross Receipts Tax To Change The Dedication From Financing The Operational Expenses, Ambulance And/Or Ems Services, Or Capital Outlay Costs Of Volunteer Fire Districts Or Volunteer Ems Districts Or Ambulance Services To 100% Of Said Gross Receipts Tax Revenues Dedicated For Any County Purposes? - Mckinley",Yes,2022-11-08-222232
38,,Amendment of Dedication of Gross Receipts Tax Revenues - Health Care : Shall the County Commissioners of McKinley County enact an ordinance amending an existing one-eight of one percent (1/8%) local option gross receipts tax to change the dedication from (I) 50% for County health care purposes and (II) 50% for public safety purposes to 100% of said gross receipt tax revenues dedicated for any county purposes? - McKinley,No Amendment Of Dedication Of Gross Receipts Tax Revenues - Health Care : Shall The County Commissioners Of Mckinley County Enact An Ordinance Amending An Existing One-Eight Of One Percent (1/8%) Local Option Gross Receipts Tax To Change The Dedication From (I) 50% For County Health Care Purposes And (Ii) 50% For Public Safety Purposes To 100% Of Said Gross Receipt Tax Revenues Dedicated For Any County Purposes? - Mckinley,No,2022-11-08-222232
38,,Amendment of Dedication of Gross Receipts Tax Revenues - Health Care : Shall the County Commissioners of McKinley County enact an ordinance amending an existing one-eight of one percent (1/8%) local option gross receipts tax to change the dedication from (I) 50% for County health care purposes and (II) 50% for public safety purposes to 100% of said gross receipt tax revenues dedicated for any county purposes? - McKinley,Yes Amendment Of Dedication Of Gross Receipts Tax Revenues - Health Care : Shall The County Commissioners Of Mckinley County Enact An Ordinance Amending An Existing One-Eight Of One Percent (1/8%) Local Option Gross Receipts Tax To Change The Dedication From (I) 50% For County Health Care Purposes And (Ii) 50% For Public Safety Purposes To 100% Of Said Gross Receipt Tax Revenues Dedicated For Any County Purposes? - Mckinley,Yes,2022-11-08-222232
39,,"Amendment of Dedication of Gross Receipts Tax Revenues - Road Construction: Shall the County Commissioners of McKinley County enact an ordinance amending an existing one-eight of one percent (1/8%) local option gross receipts tax to change the dedication from (I) 50% for County purposes, (II) 25% for road constructions and (III) 25% for heavy road equipment to 100% of said gross receipts tax revenue dedicated for any county purposes? - McKinley","No Amendment Of Dedication Of Gross Receipts Tax Revenues - Road Construction: Shall The County Commissioners Of Mckinley County Enact An Ordinance Amending An Existing One-Eight Of One Percent (1/8%) Local Option Gross Receipts Tax To Change The Dedication From (I) 50% For County Purposes, (Ii) 25% For Road Constructions And (Iii) 25% For Heavy Road Equipment To 100% Of Said Gross Receipts Tax Revenue Dedicated For Any County Purposes? - Mckinley",No,2022-11-08-222232
39,,"Amendment of Dedication of Gross Receipts Tax Revenues - Road Construction: Shall the County Commissioners of McKinley County enact an ordinance amending an existing one-eight of one percent (1/8%) local option gross receipts tax to change the dedication from (I) 50% for County purposes, (II) 25% for road constructions and (III) 25% for heavy road equipment to 100% of said gross receipts tax revenue dedicated for any county purposes? - McKinley","Yes Amendment Of Dedication Of Gross Receipts Tax Revenues - Road Construction: Shall The County Commissioners Of Mckinley County Enact An Ordinance Amending An Existing One-Eight Of One Percent (1/8%) Local Option Gross Receipts Tax To Change The Dedication From (I) 50% For County Purposes, (Ii) 25% For Road Constructions And (Iii) 25% For Heavy Road Equipment To 100% Of Said Gross Receipts Tax Revenue Dedicated For Any County Purposes? - Mckinley",Yes,2022-11-08-222232
