RaceID,RaceName,PartyCode,AreaNum,CandidateID,CandidateName,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting,CandidateAbsenteeVotes,CandidateElectionDayVotes,CandidateEarlyVotes
8401,"United States Representative","IND","DISTRICT 1",14878,"VICTORIA L GONZALES (write in)",1,32,0.000114202917170765,766/766,,,,
8401,"United States Representative","DEM","DISTRICT 1",14405,"MELANIE ANN STANSBURY",1,156187,0.557406594504698,766/766,,,,
8401,"United States Representative","REP","DISTRICT 1",14406,"MICHELLE GARCIA HOLMES",1,123984,0.442479202578131,766/766,,,,
8402,"United States Representative","REP","DISTRICT 2",14408,"YVETTE HERRELL",1,95560,0.496526496827863,650/650,,,,
8402,"United States Representative","DEM","DISTRICT 2",14884,"ELISEO LUNA (write in)",1,27,0.000140291078007035,650/650,,,,
8402,"United States Representative","DEM","DISTRICT 2",14407,"GABRIEL VASQUEZ",1,96870,0.50333321209413,650/650,,,,
8403,"United States Representative","REP","DISTRICT 3",14410,"ALEXIS MARTINEZ JOHNSON",1,96505,0.418769445734197,747/747,,,,
8403,"United States Representative","DEM","DISTRICT 3",14409,"TERESA LEGER FERNANDEZ",1,133944,0.581230554265803,747/747,,,,
8745,"Governor and Lieutenant Governor","LIB","",14892,"KAREN EVETTE BEDONIE AND EFREN GALLARDO, JR",1,17361,0.0244089672480334,2163/2163,,,,
8745,"Governor and Lieutenant Governor","REP","",14893,"MARK V RONCHETTI AND ANT L THORNTON",1,324376,0.45606146881217,2163/2163,,,,
8745,"Governor and Lieutenant Governor","DEM","",14891,"MICHELLE LUJAN GRISHAM AND HOWIE C MORALES",1,369518,0.519529563939797,2163/2163,,,,
8406,"Secretary of State","DEM","",14417,"MAGGIE TOULOUSE OLIVER",1,383879,0.545008617825696,2163/2163,,,,
8406,"Secretary of State","LIB","",14419,"MAYNA ERIKA MYERS",1,20015,0.0284161089452179,2163/2163,,,,
8406,"Secretary of State","REP","",14418,"AUDREY TRUJILLO",1,300460,0.426575273229087,2163/2163,,,,
8409,"Attorney General","REP","",14421,"JEREMY MICHAEL GAY",1,313705,0.447105051622209,2163/2163,,,,
8409,"Attorney General","DEM","",14420,"RAÚL TORREZ",1,387931,0.552894948377791,2163/2163,,,,
8407,"State Auditor","LIB","",14903,"TRAVIS STEVEN SANCHEZ",1,245486,0.380816902719389,2163/2163,,,,
8407,"State Auditor","DEM","",14422,"JOSEPH M MAESTAS",1,399144,0.619183097280611,2163/2163,,,,
8408,"State Treasurer","REP","",14425,"HARRY B MONTOYA",1,325888,0.468671621528337,2163/2163,,,,
8408,"State Treasurer","DEM","",14424,"LAURA M MONTOYA",1,369456,0.531328378471663,2163/2163,,,,
8410,"Commissioner of Public Lands","IND","",14869,"LARRY E MARKER (write in)",1,2552,0.00368748825985811,2163/2163,,,,
8410,"Commissioner of Public Lands","DEM","",14426,"STEPHANIE GARCIA RICHARD",1,378973,0.54759345152947,2163/2163,,,,
8410,"Commissioner of Public Lands","REP","",14427,"JEFFERSON L BYRD",1,310545,0.448719060210672,2163/2163,,,,
8462,"State Representative","REP","DISTRICT 1",14583,"RODNEY D MONTOYA",1,9180,1,23/23,,,,
