Licensee,Address,City,State,Zip,Lat,Long,TotalMedicalSales,TotalAdultUseSales,TotalSalesAll,acquired_datestamp
" Kure, Inc. Dispensary Santa Fe Third Location",3354 Cerrillos Rd,Santa Fe,NM,87507,35.620423,-106.028899,881258.08,1085394.54,1966652.62,2022-11-03-220052
420 Tea Time Llc/ Retail- Rover Blvd,35 Rover Blvd,White Rock,NM,87544,35.82772,-106.20685,13390.89,30577.03,43967.92,2022-11-03-220052
505Four20 - N Main Retail,221 N Main St,Belen,NM,87002,34.66224,-106.77657,171162.8,271968.53,443131.33,2022-11-03-220052
A Nice Dream Inc - Edith Retail,5050 Edith,Albuquerque,NM,87107,35.13109,-106.6273,1115.54,396.51,1512.05,2022-11-03-220052
Akeso Botanicals Llc,200 Conway,Las Cruces,NM,88005,32.274741,-106.774121,6472.3,7615.95,14088.25,2022-11-03-220052
"All In 107 Main St Llc - Main St, Portales",107 S Main Ave,Portales,NM,88130,34.18653,-103.33696,318.0,3290.51,3608.51,2022-11-03-220052
Amnesia Dispensary  Accessories,"2723 San Mateo Blvd NE, Suite B",Albuquerque,NM,87110,35.102909,-106.58681,164312.11,585419.35,749731.46,2022-11-03-220052
Animacann Inc - 20Th St Retail,1901 E 20th St,Farmington,NM,87401,36.748199,-108.179728,6598.45,53163.54,59761.99,2022-11-03-220052
Astro Buds Llc - Mccombs Rd Retail,308 McCombs Rd,Chaparral,NM,88081,32.020137,-106.409268,84917.67,763069.12,847986.79,2022-11-03-220052
Ayas 2021 Llc - Norris St Retail,408 N Norris St,Clovis,NM,88101,34.396266,-103.178416,69919.86,247146.12,317065.98,2022-11-03-220052
Best Daze,800 Mills Ave,Las Vegas,NM,87701,35.605472,-105.22287,347569.63,511371.33,858940.96,2022-11-03-220052
Best Daze,1609 Isleta Blvd B,Albuquerque,NM,87105,35.05302,-106.67845,9337.59,14254.03,23591.62,2022-11-03-220052
Best Daze - Formerly Giving Tree Organics-Production,527  527B N. Riverside Dr.,Espanola,NM,87532,36.023218,-106.06371,663752.76,787861.31,1451614.07,2022-11-03-220052
Best Daze Retail,5212 4th St NW,Albuquerque,NM,87107,35.13526,-106.64154,56226.23,90624.39,146850.62,2022-11-03-220052
Best Daze Retail,200 Coors Blvd NW,Albuquerque,NM,87105,35.11259,-106.702317,339787.69,647437.23,987224.92,2022-11-03-220052
Best Daze Retail,820 Mercer St,Santa Fe,NM,87505,35.679189,-105.954293,615337.01,955843.0,1571180.01,2022-11-03-220052
Best Daze Retail, 5212 4th St NW,Albuquerque,NM,87107,35.13857,-106.641295,130894.33,188814.03,319708.36,2022-11-03-220052
Best Daze Retail Santa Fe,7 Avenida Vista Grande,Santa Fe,NM,87508,35.539211,-105.897789,354095.26,353448.59,707543.85,2022-11-03-220052
Best Daze Retail Santa Fe,4641 Airport Rd,Santa Fe,NM,87507,35.638455,-106.024415,1107678.58,1269917.62,2377596.2,2022-11-03-220052
Bosque Buds Llc/ Retail 6Th St Nw,2505 6th St NW,Albuquerque,NM,87102,35.11043,-106.64875,190.8,1150.15,1340.95,2022-11-03-220052
Boutique High - Lomas Blvd Retail,13025 Lomas Blvd NE Ste B,Albuquerque,NM,87112,35.087592,-106.542626,29614.06,103710.13,133324.18,2022-11-03-220052
Bryans Greencare Retail,2117 Sudderth,Ruidoso,NM,88345,33.33048,-105.66713,7950.21,44367.06,52317.27,2022-11-03-220052
Bryans Greencare Retail, 2117 Sudderth,Ruidoso,NM,88345,33.328558,-105.663388,19904.7,141102.28,161006.98,2022-11-03-220052
Bryans Greencare Retail,201 North Grimes,Hobbs,NM,88240,32.714508,-103.144847,122264.53,983193.58,1105458.11,2022-11-03-220052
Bryans Greencare Retail,3108 North Main,Roswell,NM,88201,33.629001,-104.553122,7852.37,61497.37,69349.74,2022-11-03-220052
Bryans Greencare Retail, 3108 North Main,Roswell,NM,88201,33.629001,-104.553122,19487.7,62428.35,81916.05,2022-11-03-220052
Bud Board Dispensary Llc - Pierce Retail,618 W Pierce,Carlsbad,NM,88220,32.439778,-104.255908,301610.92,1300782.85,1602393.77,2022-11-03-220052
Bud Brothers Llc - Hobbs Retail,2702 W Marland Blvd,Hobbs,NM,88240,32.696628,-103.155778,784.86,89955.24,90740.1,2022-11-03-220052
Bud In Bud Out Llc,915 E Main St,Tucumcari,NM,88401,35.179079,-103.725539,24337.88,86131.34,110469.22,2022-11-03-220052
Budder Pros,121 US Route 66,Moriarty,NM,87035,34.99005,-106.049189,36670.16,102316.43,138986.59,2022-11-03-220052
Budding Hope,1514 Coors Blvd Ste B,Albuquerque,NM,87121,35.191492,-106.657001,394765.13,444129.19,838894.32,2022-11-03-220052
Budding Hope - San Mateo Retail,2621 San Mateo Blvd NE Ste B,Albuquerque,NM,87110,35.102909,-106.58681,376797.26,337145.13,713942.39,2022-11-03-220052
Budding Industries Llc - Burro Ave Retail,504 Burro Ave,Cloudcroft,NM,88317,32.95855,-105.739787,26891.65,173543.4,200435.05,2022-11-03-220052
Buffalo Bud Farming Co Llc - Retail,910 N Pope St,Silver City,NM,88061,32.777642,-108.275913,61521.27,83856.58,145377.85,2022-11-03-220052
Bx3 Enterprises Llc - Retail,100 Mountain Park,Albuquerque,NM,87114,35.19464,-106.60708,0.0,7.2,7.2,2022-11-03-220052
C.G. Corrigan Dispensery,1400 Main St. STE D,Los Lunas,NM,87031,34.804828,-106.705262,709551.02,695051.07,1404602.09,2022-11-03-220052
C.G. Corrigan-Santa Fe,802 Early St.,Santa Fe,NM,87505,35.67799,-105.95252,414628.01,374599.74,789227.75,2022-11-03-220052
Cannabias,1002 W Pierce,Carlsbad,NM,88220,32.439778,-104.255908,24902.6,102101.23,127003.83,2022-11-03-220052
Cannabias,1912 N Grimes,Hobbs,NM,88240,32.72014,-103.14454,85906.16,348076.27,433982.43,2022-11-03-220052
Cannabliss - Madrid Retail,2883 A NM 14,Madrid,NM,87010,35.417493,-106.137686,25511.84,197952.73,223464.57,2022-11-03-220052
Cannaceutics Dispensary,"4316 Carlisle Blvd. NE, Suite D",Albuquerque,NM,87107,35.117814,-106.604084,512885.03,0.0,512885.03,2022-11-03-220052
Cannacollc - 4Th St Retail,4212 4th St NW,Albuquerque,NM,87107,35.13857,-106.641295,11226.83,41982.22,53209.05,2022-11-03-220052
Cannaverse - Nevada Ave Retail,2305 Nevada Ave,Las Cruces,NM,88001,32.30317,-106.762334,69950.94,141678.17,211629.13,2022-11-03-220052
Canvas Organics Enterprises Llc,3000 San Pedro Drive NE Suite B,Albuquerque,NM,87110,35.084103,-106.650985,121179.51,299380.35,420559.85,2022-11-03-220052
Cardiel Botanica Ltd Co - Palomas Pl Retail,100 Palomas Pl Ste B-2,Sunland Park,NM,88063,31.796496,-106.579989,3598.11,34323.74,37921.85,2022-11-03-220052
"Carolinas Choice, Llc - Copper Ave Retail",13600 Copper Ave NE,Albuquerque,NM,87123,35.07869,-106.49779,3681.11,9006.42,12687.53,2022-11-03-220052
Carver Family Farm- Retail Micro,8917 Adams ST NE,Albuquerque,NM,87113,35.18765,-106.59498,131128.31,147326.17,278454.48,2022-11-03-220052
Carver Family Farm- Retail Micro, 8917 Adams ST NE,Albuquerque,NM,87113,35.083681,-106.594187,307283.32,284413.35,591696.67,2022-11-03-220052
Cave City Cannabis Co Llp - Church St Retail,108 E Church St,Carlsbad,NM,88220,32.428565,-104.223753,84858.39,162350.64,247209.03,2022-11-03-220052
"Ccc Holdings, Llc","102 Mexican Avenue, Unit 420",Cloudcroft,NM,88317,32.95962,-105.74347,37842.43,240016.36,277858.79,2022-11-03-220052
Cg Corrigan Dispensary - Albuquerque,6614 Gulton Ct. NE,Albuquerque,NM,87109,35.154736,-106.60042,553865.79,410768.34,964634.13,2022-11-03-220052
Cg Corrigan Dispensary - Placitas,"30 E Frontage Road, Suite D",Placitas,NM,87403,35.324364,-106.528674,247113.93,148865.57,395979.5,2022-11-03-220052
Chillax Glass - Sudderth Rd Retail,200 Sudderth Rd Unit A  B,Ruidoso,NM,88345,33.33158,-105.673099,5282.07,17261.21,22543.28,2022-11-03-220052
Chronic Kings Llc - Lomas Blvd Retail,400 Lomas Blvd NE,Albuquerque,NM,87102,35.09048,-106.6454,32578.95,346489.53,379068.48,2022-11-03-220052
Cinder New Mexico Llc - 3Rd St Abq Retail,800 3rd St NW,Albuquerque,NM,87102,35.092916,-106.648801,20556.13,56022.45,76578.58,2022-11-03-220052
Cloud 9 Zendustries,5200 Constitution Avenue NE,Albuquerque,NM,87110,35.09444,-106.58731,4304.94,46713.79,51018.73,2022-11-03-220052
Cmc Cannabis Dispensary Llc/ Retail W Historic Hwy 66,611 W Historic HWY 66,Gallup,NM,87301,35.52608,-108.74848,9843.41,0.0,9843.41,2022-11-03-220052
Compassionate Distributors Alamogordo,2617 N. White Sands Blvd. Ste. D,Alamogordo,NM,88310,32.923202,-105.961089,348185.46,318448.87,666634.33,2022-11-03-220052
Compassionate Distributors Dispensary - Roswell,117 West Walnut,Roswell,NM,88203,33.391446,-104.507704,327571.85,191132.23,518704.07,2022-11-03-220052
Compassionate Distributors Dispensary - Ruidoso,1216 Mechem Dr.,Ruidoso,NM,88345,33.342463,-105.674117,50224.21,712.0,50936.21,2022-11-03-220052
Compassionate Distributors Dispensary - Ruidoso,1100 Sudderth Dr.,Ruidoso,NM,88345,33.328558,-105.663388,266993.25,431864.46,698857.71,2022-11-03-220052
Compassionate Distributors Dispensary-Carlsbad,1704 S. Canal Street,Carlsbad,NM,88220,32.38989,-104.218898,281637.62,564780.6,846418.22,2022-11-03-220052
Compassionate Distributors Hobbs,1822 S. Dal Paso,Hobbs,NM,88240,32.733511,-103.12758,131850.1,877568.04,1009418.14,2022-11-03-220052
Compassionate Distributors Inc,1321 N Pile St,Clovis,NM,88101,34.419312,-103.20401,184775.12,191652.17,376427.29,2022-11-03-220052
Compassionate Distributors Incorporated,338 Paseo Del Pueblo Sur Unit 2,Taos,NM,87571,36.407249,-105.573066,89584.64,187909.63,277494.27,2022-11-03-220052
Compassionate Distributors Incorporated,1925 Appaloosa Ste 4-5,Sunland Park,NM,88063,31.796496,-106.579989,1202.0,0.0,1202.0,2022-11-03-220052
Compassionate Distributors Incorporated,401 Anthony Dr,Anthony,NM,88021,32.00367,-106.60652,17240.76,39674.56,56915.32,2022-11-03-220052
Compassionate Distributors Incorporated - Don Diego Retail,713 Don Diego Ave,Santa Fe,NM,87505,35.671007,-105.949429,68697.43,112221.93,180919.36,2022-11-03-220052
Compassionate Distributors Incorporated/ Retail 2Nd Street Nw,1100 2nd Street NW,Albuquerque,NM,87102,35.09385,-106.64729,6193.35,8411.4,14604.75,2022-11-03-220052
Compassionate Distributors Incorporated/ Retail Lomas Blvd Nw,1520 Lomas Blvd NW,Albuquerque,NM,87102,35.09052,-106.62624,1420.5,912.99,2333.49,2022-11-03-220052
Compassionate Distributors Las Cruces,609 E Amador Ave,Las Cruces,NM,88011,32.30958,-106.763195,276151.98,288378.18,564530.16,2022-11-03-220052
Compassionate Distributors Oso Cannabis Retail,17839-A US 84/285,Santa Fe,NM,87056,35.86753,-106.00331,120.0,0.0,120.0,2022-11-03-220052
Compassionate Distributors Portales,1429 S. Avenue D,Portales,NM,88130,34.17623,-103.33456,202930.73,147697.79,350628.52,2022-11-03-220052
Corrales Hemporium Llc/ Retail Corrales Road,4484 Corrales Road,Corrales,NM,87048,35.235869,-106.608909,1045.0,3237.0,4282.0,2022-11-03-220052
"Cowboy Verde Llc - Mabry Dr, Clovis Retail",1605 Mabry Dr,Clovis,NM,88101,34.395166,-103.160806,52715.61,573977.57,626693.18,2022-11-03-220052
Cowboy Verde Llc/ Retail S Main,211 S Main,Belen,NM,87002,34.6596,-106.77777,1867.4,3690.93,5558.33,2022-11-03-220052
Cowboy Verde Llc/ Retail Us-54,124 US-54,Logan,NM,88426,35.373634,-103.406929,11465.97,48016.44,59482.41,2022-11-03-220052
Cranium Extracts Llc,"4501 4th Street NW, Suite E",Albuquerque,NM,87107,35.13857,-106.641295,38296.44,75620.0,113916.44,2022-11-03-220052
Deep Sky Cannabis Llc - Luana St Retail,1320 Luana St,Santa Fe,NM,87505,35.661898,-105.983216,80488.76,163259.05,243747.81,2022-11-03-220052
