City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp,border
Los Alamos,922.9,0,1038.9,0,1961.8,0,April,April 2022,2022,2022-11-04-145018,
Bernalillo,161040.88,0,277935.32,0,438976.2,0,April,April 2022,2022,2022-11-04-145018,
Cedar Crest,51934.92,0,56301.59,0,108236.51,0,April,April 2022,2022,2022-11-04-145018,
Sunland Park,225550.66,0,1177048.03,0,1402598.69,0,April,April 2022,2022,2022-11-04-145018,Texas
Taos,174485.02,0,324947.63,0,499432.65,0,April,April 2022,2022,2022-11-04-145018,
Fort Lauderdale,245.0,0,174.0,0,419.0,0,April,April 2022,2022,2022-11-04-145018,
Texico,1748.95,0,15526.41,0,17275.36,0,April,April 2022,2022,2022-11-04-145018,Texas
Alto,15400.47,0,41513.69,0,56914.16,0,April,April 2022,2022,2022-11-04-145018,
Tularosa,39771.1,0,39470.26,0,79241.36,0,April,April 2022,2022,2022-11-04-145018,
Placitas,47566.0,0,33489.98,0,81055.98,0,April,April 2022,2022,2022-11-04-145018,
Clayton,15813.42,0,71407.22,0,87220.64,0,April,April 2022,2022,2022-11-04-145018,Texas
Corrales,46098.15,0,57789.45,0,103887.6,0,April,April 2022,2022,2022-11-04-145018,
Alamogordo,653106.03,0,469384.1,0,1122490.13,0,April,April 2022,2022,2022-11-04-145018,
Rio Rancho,944124.0,0,749123.89,0,1693247.89,0,April,April 2022,2022,2022-11-04-145018,
Espanola,300752.68,0,327420.34,0,628173.02,0,April,April 2022,2022,2022-11-04-145018,
Las Cruces,1565586.54,0,2064668.01,0,3630254.55,0,April,April 2022,2022,2022-11-04-145018,Texas
Grants,157992.95,0,196174.45,0,354167.4,0,April,April 2022,2022,2022-11-04-145018,
Belen,13986.19,0,17861.83,0,31848.02,0,April,April 2022,2022,2022-11-04-145018,
Raton,10272.23,0,50969.02,0,61241.25,0,April,April 2022,2022,2022-11-04-145018,
Ruidoso,313637.85,0,499402.42,0,813040.27,0,April,April 2022,2022,2022-11-04-145018,
Madrid,165.2,0,40840.31,0,41005.51,0,April,April 2022,2022,2022-11-04-145018,
Deming,101735.0,0,139882.86,0,241617.86,0,April,April 2022,2022,2022-11-04-145018,
Roswell,673261.97,0,2364.11,0,675626.08,0,April,April 2022,2022,2022-11-04-145018,Texas
Edgewood,119930.86,0,216430.13,0,336360.99,0,April,April 2022,2022,2022-11-04-145018,
Santa Fe,1633141.88,0,1831441.87,0,3464583.75,0,April,April 2022,2022,2022-11-04-145018,
Estancia,1327.62,0,4853.36,0,6180.98,0,April,April 2022,2022,2022-11-04-145018,
Farmington,252173.36,0,413943.79,0,666117.15,0,April,April 2022,2022,2022-11-04-145018,
Hobbs,422857.57,0,1316810.97,0,1739668.54,0,April,April 2022,2022,2022-11-04-145018,Texas
Los Lunas,444665.65,0,471172.54,0,915838.19,0,April,April 2022,2022,2022-11-04-145018,
Truth Or Consequences,218104.77,0,156716.45,0,374821.22,0,April,April 2022,2022,2022-11-04-145018,
Anthony,2238.99,0,25090.77,0,27329.76,0,April,April 2022,2022,2022-11-04-145018,Texas
Portales,229025.31,0,168896.66,0,397921.97,0,April,April 2022,2022,2022-11-04-145018,Texas
Cloudcroft,420.0,0,1345.0,0,1765.0,0,April,April 2022,2022,2022-11-04-145018,
Socorro,134261.63,0,149356.73,0,283618.37,0,April,April 2022,2022,2022-11-04-145018,
Carlsbad,387158.83,0,719082.45,0,1106241.28,0,April,April 2022,2022,2022-11-04-145018,Texas
Clovis,478456.34,0,804083.28,0,1282539.62,0,April,April 2022,2022,2022-11-04-145018,Texas
Gallup,147166.66,0,631475.8,0,778642.46,0,April,April 2022,2022,2022-11-04-145018,
Albuquerque,6870882.34,0,7990315.28,0,14861197.63,0,April,April 2022,2022,2022-11-04-145018,
Silver City,240872.55,0,185893.22,0,426765.77,0,April,April 2022,2022,2022-11-04-145018,
Tucumcari,33735.33,0,147597.25,0,181332.58,0,April,April 2022,2022,2022-11-04-145018,
Las Vegas,235130.01,0,226299.14,0,461429.15,0,April,April 2022,2022,2022-11-04-145018,
Alto,14353.39,0,44479.58,0,58832.97,0,May,May 2022,2022,2022-11-04-145018,
