City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,Month,MonthYear,Year,acquired_datestamp
Farmington,252173.36,4684,413943.79,9439,666117.15,14123,April,April 2022,2022,2022-12-02-122043
Los Lunas,444665.65,8609,471172.54,9895,915838.19,18504,April,April 2022,2022,2022-12-02-122043
Ruidoso,313637.85,5952,499402.42,8719,813040.27,14671,April,April 2022,2022,2022-12-02-122043
Anthony,2238.99,43,25090.77,509,27329.76,552,April,April 2022,2022,2022-12-02-122043
Estancia,1327.62,50,4853.36,164,6180.98,214,April,April 2022,2022,2022-12-02-122043
Raton,10272.23,199,50969.02,936,61241.25,1135,April,April 2022,2022,2022-12-02-122043
Truth Or Consequences,218104.77,5047,156716.45,3831,374821.22,8878,April,April 2022,2022,2022-12-02-122043
Tucumcari,33735.33,660,147597.25,2100,181332.58,2760,April,April 2022,2022,2022-12-02-122043
Edgewood,119930.86,2224,216430.13,4828,336360.99,7052,April,April 2022,2022,2022-12-02-122043
Las Cruces,1568850.11,29472,2083571.59,38036,3652421.7,67508,April,April 2022,2022,2022-12-02-122043
Madrid,165.2,5,40840.31,960,41005.51,965,April,April 2022,2022,2022-12-02-122043
Sunland Park,225550.66,3616,1177048.03,19319,1402598.69,22935,April,April 2022,2022,2022-12-02-122043
Cedar Crest,51934.92,890,56301.59,1187,108236.51,2077,April,April 2022,2022,2022-12-02-122043
Espanola,300752.68,6687,327420.34,8036,628173.02,14723,April,April 2022,2022,2022-12-02-122043
Grants,162513.75,3377,200660.03,4079,363173.78,7456,April,April 2022,2022,2022-12-02-122043
Los Alamos,922.9,20,1038.9,22,1961.8,42,April,April 2022,2022,2022-12-02-122043
Placitas,47566.0,743,33489.98,730,81055.98,1473,April,April 2022,2022,2022-12-02-122043
Taos,174485.02,3233,324947.63,6820,499432.65,10053,April,April 2022,2022,2022-12-02-122043
Hobbs,422857.57,6942,1316810.97,15348,1739668.54,22290,April,April 2022,2022,2022-12-02-122043
Socorro,134261.63,2516,149356.73,3321,283618.37,5837,April,April 2022,2022,2022-12-02-122043
Alamogordo,653106.03,12655,469384.1,10317,1122490.13,22972,April,April 2022,2022,2022-12-02-122043
Bernalillo,161040.88,3497,277935.32,6354,438976.2,9851,April,April 2022,2022,2022-12-02-122043
Clovis,478456.34,10124,804083.28,12633,1282539.62,22757,April,April 2022,2022,2022-12-02-122043
Carlsbad,387158.83,6815,719082.45,11803,1106241.28,18618,April,April 2022,2022,2022-12-02-122043
Roswell,676987.92,13043,2364.11,58,679352.03,13101,April,April 2022,2022,2022-12-02-122043
Texico,1748.95,46,15526.41,291,17275.36,337,April,April 2022,2022,2022-12-02-122043
Belen,13986.19,327,17861.83,503,31848.02,830,April,April 2022,2022,2022-12-02-122043
Cloudcroft,420.0,10,1345.0,23,1765.0,33,April,April 2022,2022,2022-12-02-122043
Rio Rancho,944124.0,15425,749123.89,15112,1693247.89,30537,April,April 2022,2022,2022-12-02-122043
Albuquerque,6899255.17,128012,8014519.78,166230,14913774.96,294242,April,April 2022,2022,2022-12-02-122043
Alto,15400.47,301,41513.69,821,56914.16,1122,April,April 2022,2022,2022-12-02-122043
Deming,101735.0,2353,139882.86,3497,241617.86,5850,April,April 2022,2022,2022-12-02-122043
Santa Fe,1633151.88,30453,1832334.87,38793,3465486.75,69246,April,April 2022,2022,2022-12-02-122043
Clayton,15813.42,373,71407.22,1066,87220.64,1439,April,April 2022,2022,2022-12-02-122043
Silver City,240872.55,5195,185893.22,4547,426765.77,9742,April,April 2022,2022,2022-12-02-122043
Portales,229025.31,5430,168896.66,3847,397921.97,9277,April,April 2022,2022,2022-12-02-122043
Gallup,147166.66,3048,631475.8,14380,778642.46,17428,April,April 2022,2022,2022-12-02-122043
Las Vegas,235466.01,5381,226583.14,5260,462049.15,10641,April,April 2022,2022,2022-12-02-122043
Tularosa,39771.1,916,39470.26,1017,79241.36,1933,April,April 2022,2022,2022-12-02-122043
Corrales,46098.15,716,57789.45,1184,103887.6,1900,April,April 2022,2022,2022-12-02-122043
Carlsbad,375399.17,6987,705142.14,12328,1080541.31,19315,May,May 2022,2022,2022-12-02-122043
Albuquerque,7099827.85,134431,7318715.87,165346,14418543.72,299777,May,May 2022,2022,2022-12-02-122043
Tularosa,36098.2,833,33933.95,931,70032.15,1764,May,May 2022,2022,2022-12-02-122043
Belen,60985.73,1388,96966.38,2368,157952.11,3756,May,May 2022,2022,2022-12-02-122043
Farmington,237083.56,4699,403494.77,10581,640578.33,15280,May,May 2022,2022,2022-12-02-122043
Las Vegas,169860.81,3803,153400.38,3606,323261.19,7409,May,May 2022,2022,2022-12-02-122043
Edgewood,116129.26,2223,195940.02,4526,312069.28,6749,May,May 2022,2022,2022-12-02-122043
Anthony,20408.76,434,283214.02,5877,303622.78,6311,May,May 2022,2022,2022-12-02-122043
Alamogordo,620002.24,12635,436507.1,10372,1056509.34,23007,May,May 2022,2022,2022-12-02-122043
Clayton,13041.28,307,87996.94,1503,101038.22,1810,May,May 2022,2022,2022-12-02-122043
Los Lunas,418150.8,8387,385759.47,9057,803910.27,17444,May,May 2022,2022,2022-12-02-122043
Truth Or Consequences,220873.91,5367,140918.69,3602,361792.6,8969,May,May 2022,2022,2022-12-02-122043
Madrid,3148.8,56,40667.6,903,43816.4,959,May,May 2022,2022,2022-12-02-122043
Sunland Park,208097.19,3856,1273552.79,24858,1481649.98,28714,May,May 2022,2022,2022-12-02-122043
Espanola,297048.49,6706,302497.52,8275,599546.01,14981,May,May 2022,2022,2022-12-02-122043
Santa Fe,1662793.49,31242,1719723.0,37713,3382516.49,68955,May,May 2022,2022,2022-12-02-122043
Estancia,2897.49,88,11771.16,333,14668.65,421,May,May 2022,2022,2022-12-02-122043
Cloudcroft,2864.5,67,17385.1,338,20249.6,405,May,May 2022,2022,2022-12-02-122043
