City,MedicalSales,MedicalTickets,RecSales,RecTickets,TotalSales,TotalTickets,acquired_datestamp
Alamogordo,4844785.46,101545,4040652.88,98946,8885438.34,200491,2023-01-04-124524
Albuquerque,58144200.13,1113035,70065842.57,1689961,128210042.69,2802996,2023-01-04-124524
Alto,100487.97,2037,439932.47,8938,540420.44,10975,2023-01-04-124524
Anthony,477528.42,9474,3691645.95,75616,4169174.38,85090,2023-01-04-124524
Artesia,187887.36,3758,350889.83,8290,538777.19,12048,2023-01-04-124524
Aztec,51156.99,989,412091.36,9360,463248.35,10349,2023-01-04-124524
Belen,674794.97,14603,1159534.89,29188,1834329.85,43791,2023-01-04-124524
Bernalillo,1494029.5,32413,2657412.87,71192,4151442.37,103605,2023-01-04-124524
Bloomfield,588.04,23,40787.24,1507,41375.28,1530,2023-01-04-124524
Bosque Farms,12249.36,421,26361.61,947,38610.97,1368,2023-01-04-124524
Carlsbad,3255175.41,60978,7123473.46,123944,10378648.87,184922,2023-01-04-124524
Carrizozo,5284.91,110,11535.06,327,16819.97,437,2023-01-04-124524
Cedar Crest,332002.81,6468,421128.14,10520,753130.95,16988,2023-01-04-124524
Chama,10076.53,202,82936.76,1890,93013.29,2092,2023-01-04-124524
Chaparral,316233.65,5963,2062021.29,42690,2378254.94,48653,2023-01-04-124524
Clayton,121830.61,3000,1248049.26,19382,1369879.87,22382,2023-01-04-124524
Cloudcroft,84642.42,1568,555681.75,9566,640324.17,11134,2023-01-04-124524
Clovis,3845920.34,86349,6501842.56,109465,10347762.91,195814,2023-01-04-124524
Corrales,356385.4,5043,398486.02,7657,754871.42,12700,2023-01-04-124524
Cuba,15303.99,369,175753.1,5404,191057.09,5773,2023-01-04-124524
Deming,1037867.12,23958,1689139.59,48249,2727006.71,72207,2023-01-04-124524
Eagle Nest,43968.12,821,277587.37,5460,321555.49,6281,2023-01-04-124524
Edgewood,939844.65,18506,1568054.63,37643,2507899.28,56149,2023-01-04-124524
Espanola,2281661.13,51343,2714192.88,76048,4995854.01,127391,2023-01-04-124524
Estancia,43395.32,1256,127415.41,3903,170810.73,5159,2023-01-04-124524
Farmington,1840770.78,37339,5245841.35,137135,7086612.13,174474,2023-01-04-124524
Fort Sumner,66316.48,1646,160375.72,3713,226692.2,5359,2023-01-04-124524
Gallup,1188970.1,26445,4565884.85,133716,5754854.95,160161,2023-01-04-124524
Grants,1349180.35,28420,1567211.18,38017,2916391.53,66437,2023-01-04-124524
Hatch,11878.23,303,24847.36,737,36725.59,1040,2023-01-04-124524
Hobbs,3329104.76,56181,12389944.49,151230,15719049.25,207411,2023-01-04-124524
Jal,1826.82,39,263837.26,3923,265664.08,3962,2023-01-04-124524
Kirtland,12811.85,393,139187.52,4952,151999.37,5345,2023-01-04-124524
Las Cruces,12793447.6,262068,16279721.9,367969,29073169.52,630037,2023-01-04-124524
Las Vegas,1755017.8,40847,1915207.97,50028,3670225.77,90875,2023-01-04-124524
Logan,12305.47,293,51757.52,1075,64062.99,1368,2023-01-04-124524
Los Alamos,186731.82,2725,354030.26,6951,540762.08,9676,2023-01-04-124524
Los Lunas,3108342.34,62978,3417938.94,83481,6526281.28,146459,2023-01-04-124524
Los Ranchos,21550.84,586,101429.49,2376,122980.33,2962,2023-01-04-124524
Lovington,60967.86,1252,123645.99,3077,184613.85,4329,2023-01-04-124524
Madrid,58676.83,1161,336019.92,7608,394696.75,8769,2023-01-04-124524
Mesilla,2223.44,53,19759.71,569,21983.15,622,2023-01-04-124524
Mora,34673.95,920,107923.28,3259,142597.23,4179,2023-01-04-124524
Moriarty,129297.79,2917,351082.96,9074,480380.75,11991,2023-01-04-124524
Peralta,83156.78,2433,171187.7,5467,254344.48,7900,2023-01-04-124524
Placitas,296826.64,4967,182377.43,4473,479204.07,9440,2023-01-04-124524
Portales,1769724.85,44091,1313372.99,32540,3083097.84,76631,2023-01-04-124524
Questa,11801.52,266,33742.43,866,45543.95,1132,2023-01-04-124524
Raton,70938.2,1389,637339.89,11242,708278.09,12631,2023-01-04-124524
Red River,3604.66,70,65052.59,1174,68657.25,1244,2023-01-04-124524
Rio Rancho,7401348.88,124543,6786259.52,146484,14187608.4,271027,2023-01-04-124524
Roswell,4710552.73,96686,3435915.2,72365,8146467.92,169051,2023-01-04-124524
Ruidoso,2900050.22,54299,5883180.73,109038,8783230.96,163337,2023-01-04-124524
Santa Fe,13591035.29,250861,16476342.11,369411,30067377.39,620272,2023-01-04-124524
Silver City,1838729.55,41573,1579700.8,42062,3418430.35,83635,2023-01-04-124524
Socorro,865052.52,17765,968971.88,25180,1834024.4,42945,2023-01-04-124524
Sunland Park,1764827.84,31188,12882867.81,258994,14647695.65,290182,2023-01-04-124524
Taos,1434067.17,26566,3324889.49,70759,4758956.66,97325,2023-01-04-124524
Tatum,87617.96,1067,395638.36,4267,483256.32,5334,2023-01-04-124524
Texico,49054.12,1134,601857.68,8676,650911.8,9810,2023-01-04-124524
Truth Or Consequences,1754296.55,41734,1389254.55,34962,3143551.1,76696,2023-01-04-124524
Tucumcari,546895.01,12390,2384715.33,36876,2931610.34,49266,2023-01-04-124524
Tularosa,308528.62,7359,310808.16,8606,619336.78,15965,2023-01-04-124524
White Rock,30938.11,597,70410.99,1776,101349.1,2373,2023-01-04-124524
