License,Producer,PlantCount,acquired_datestamp
220513001,3D Productions - Towhee Rd Production,15,2022-11-03-214406
210040001,42 Days - Producer,98,2022-11-03-214406
220012,505 Organix Premium Cannabis LLC,9,2022-11-03-214406
220342,518 Genetics LLC - Ocate Production,100,2022-11-03-214406
220495,A Farmer and His Dog LLC - Carro Producer,129,2022-11-03-214406
220337001,Agra 420 - 2015 Gun Club Rd Production,505,2022-11-03-214406
210046001,Akeso Botanicals LLC,56,2022-11-03-214406
220686,Alter Ego Cultivation LLC - Hadley Producer,55,2022-11-03-214406
210043001,Astro Buds LLC - Production,442,2022-11-03-214406
220141,Baca Pharms LLC - Micro Producer,142,2022-11-03-214406
210038,Baudaboomz2 LLC - Micro - 101-200,200,2022-11-03-214406
80129,Best Daze - Formerly Giving Tree Organics- PRODUCER,3,2022-11-03-214406
5024,Best Daze - Formerly Giving Tree Organics- PRODUCER,596,2022-11-03-214406
80098,Best Daze - Formerly Giving Tree Organics-Production,1,2022-11-03-214406
220532,Best Life Productions - Roosevelt Production,20,2022-11-03-214406
P220032,Big Effin Treez LLC - Maldonado Production,123,2022-11-03-214406
220458,"Blazin Serenity , LLC- Howard Producer",26,2022-11-03-214406
P220057,BOA Holistic LLC -Canyon Rd Production,200,2022-11-03-214406
220024,BodyMind ReLeaf,123,2022-11-03-214406
220037001,Botanix Ltd Co- Production,224,2022-11-03-214406
220007001,Bryans Greencare,94,2022-11-03-214406
220587001,Bubbas Buds LLC - Bosque Farms Production,162,2022-11-03-214406
P0013001,Budder Pros - Ranchitos Producer,294,2022-11-03-214406
80143,Budding Hope,3,2022-11-03-214406
1,Budding Hope Producer,189,2022-11-03-214406
P220010,Buffalo Bud Farming Co LLC - Production,10,2022-11-03-214406
220059,BX3 Enterprises LLC,4,2022-11-03-214406
220053,Cannabi12 Ltd,3,2022-11-03-214406
220151001,Cannaculture Grow Company LLC - Production,16,2022-11-03-214406
220409,Carlton  Kathy Hinkle - Fair Lady Ln Production,2,2022-11-03-214406
20210037,Carver Family Farm Micro- 101-200,37,2022-11-03-214406
220367,Caveman Pumping Services LLC-Hopi Micro Producer,2,2022-11-03-214406
5,CG Corrigan Producer,148,2022-11-03-214406
220293,Chico Rico Inc - Metro Blvd Production,77,2022-11-03-214406
220490,Clean Canna Farms LLC - Peaceful Producer,128,2022-11-03-214406
220087,Close Encounter Farms Inc,60,2022-11-03-214406
220260001,CMF Productions LLC - 2nd St Production,10,2022-11-03-214406
220120,"Colophony Co - Olsen Ave, Edgewood",30,2022-11-03-214406
9,Compassionate Distributors Producer - Nogal,308,2022-11-03-214406
220422,Cowboy RX LLC - State Hwy 47 Production,1875,2022-11-03-214406
210035,Cranium Extracts LLC - Los Arboles Production,10,2022-11-03-214406
220156,Davis Ranch  Gardens LLC - Production,130,2022-11-03-214406
220013001,DBGJR LLC,953,2022-11-03-214406
220062,Desert Flower Growers LLC,34,2022-11-03-214406
220435001,Desert Peaks Farms Inc - Mesilla Park Producation,1820,2022-11-03-214406
220478001,Don Verde LLC - Main St Production,2,2022-11-03-214406
220236001,Dozja Grows - Washington Production,129,2022-11-03-214406
220022,Dr Green Organics - Gandy Ln Production,198,2022-11-03-214406
220365001,"Dynamic Jack 1, LLC - Alan Producer",365,2022-11-03-214406
210041001,Earl and Tom LLC - Producer,64,2022-11-03-214406
220299001,East of West Ventures - Hobbs Production,1076,2022-11-03-214406
220421,"El Lumbre Farms, LLC - Baca Farms Rd Production",37,2022-11-03-214406
P220078,EMOG -Plant Producer,121,2022-11-03-214406
P220035,Enchanted Desert Farms LLC - Redwine Production,47,2022-11-03-214406
220192001,ES Holdings LLC - Central Ave Production,173,2022-11-03-214406
80144,Everest Apothecary,2904,2022-11-03-214406
3069,Everest Apothecary-Production,26,2022-11-03-214406
P0023001,FCI of New Mexico - Production,18,2022-11-03-214406
220312001,Fora Farm LLC - State Rd 77 Production,4098,2022-11-03-214406
220403,Forest Road LLC - Tijeras Production,134,2022-11-03-214406
220402,Frances Melody Schnyder -Punti DR Producer,45,2022-11-03-214406
220282,Freedom Farms - Appaloosa Production,62,2022-11-03-214406
220198001,Fresh Grown Systems LLC -  Hwy 55 Production,83,2022-11-03-214406
12,Fruit of the Earth Organics-Producer,984,2022-11-03-214406
P220019,Genesis Organics LLC - Guinea Ln Production,698,2022-11-03-214406
14,GG Genetics,50,2022-11-03-214406
80140,GH LLC,2146,2022-11-03-214406
220347,Gila River Growers LLC - McCauley Rd Production,199,2022-11-03-214406
220359001,"Gold Fish Farm and Dispo, LLC -Carson Producer",205,2022-11-03-214406
220350001,Gold Hill Farms LLC - Gold Hill Rd Producer,475,2022-11-03-214406
P0011001,Golden Roots LLC - Wyoming - Production,1,2022-11-03-214406
MICB22000,Gradys LLC - Producer,168,2022-11-03-214406
P220138,"Grandpas Home Grown Herbs, LLC- Production",152,2022-11-03-214406
6001,GrassRoots Grants LLC,498,2022-11-03-214406
220496,Green Fuego - Mallard Producer,1,2022-11-03-214406
220285,Gropro - Marquez Ln Production,168,2022-11-03-214406
220021,Growers Reserve LLC,3,2022-11-03-214406
3063,Harvest Foundation,1113,2022-11-03-214406
80049,Harvest Foundation,883,2022-11-03-214406
220608,HDH Farms LLC - Loma Producer,4,2022-11-03-214406
18,Healthy Education Society,191,2022-11-03-214406
17,Healthy Education Society CLOSED,143,2022-11-03-214406
80084,Healthy Education Society Seasonal Production,67,2022-11-03-214406
220345,Hernandez Farm and Seed LLC - Hagerman Production,15,2022-11-03-214406
220503001,Herrera Cannabis Company - Salazar Production,266,2022-11-03-214406
220384,High Country Cannabis LLC - Estancia Production,117,2022-11-03-214406
220469,High Desert Fruit LLC - Jose Serna St Production,41,2022-11-03-214406
80029,High Desert Relief Production,26,2022-11-03-214406
220374,"High Living Enterprises , LLC - 48 Producer Micro",18,2022-11-03-214406
220280,High Mountain Solutions LLC - Bodean Rd Production,16,2022-11-03-214406
220006,High Mountian Health  Wellness LLC,14,2022-11-03-214406
220038001,High Noon Cannabis LLC,2814,2022-11-03-214406
P220037,Highlonesome Cannabis LLC - Silver City Production,107,2022-11-03-214406
220083,Iron Fist Cannabis LLC,19,2022-11-03-214406
220477,Jennys Itty bitty Farm - Wood Producer,80,2022-11-03-214406
220604,Karma Farms LLC - 5557 Producer,4,2022-11-03-214406
3053,Keyway - Production,935,2022-11-03-214406
80038,Keyway Albuquerque Production,6,2022-11-03-214406
210007003,"Keyway, Inc.",243,2022-11-03-214406
P220022,Kine LLC - Durazno Production,50,2022-11-03-214406
80127,"Kure, Inc",12,2022-11-03-214406
R220109,Las Perlas Verdes LLC,7,2022-11-03-214406
220078001,Leaf and Flower LLC,111,2022-11-03-214406
220327,Little Dog Farm - Rancho de Abo Production,67,2022-11-03-214406
220534001,Lonesome Farm LLC - Bassett Blvd Production,242,2022-11-03-214406
P220088,Los Primos Farms LLC - Solano Producer,1,2022-11-03-214406
220235,LW Farms LLC - Wrangler Rd Production,87,2022-11-03-214406
220400,Lx LLC - Richard Rd Production,109,2022-11-03-214406
220271,Lynette Keeth - N 1st St Production,60,2022-11-03-214406
220228,Madwax LLC - Arena Rd Production,100,2022-11-03-214406
220279001,Mama And The Girls - Alan Ayers Rd Production,683,2022-11-03-214406
220436001,"Manzano Partners, LLC - Bosque Producation",2903,2022-11-03-214406
220512,Mayhews Homegrown Cannabis LLC - Dancing Producer,110,2022-11-03-214406
220411,Mesquiteacresllc - Pawnee St Production,54,2022-11-03-214406
210022002,Minerva Canna Group,1551,2022-11-03-214406
220472,Mira Farms LLC - HWY Producer,182,2022-11-03-214406
80112,MJ Express-O,1181,2022-11-03-214406
23,MJ Express-O,467,2022-11-03-214406
7001,Mother Earth Herbs Albuquerque Grow,34,2022-11-03-214406
30,Mother Earth Herbs Las Cruces Producer,34,2022-11-03-214406
210034001,Mothers Meds LLC- Producer,162,2022-11-03-214406
220334001,Mr Bs Frosty Flower LLC - Elk Springs Dr Production,205,2022-11-03-214406
220240,Mystic Enchantment - Miami Production,36,2022-11-03-214406
220552001,NAB Ventures LLC - Animas Creek Rd Production,1,2022-11-03-214406
3,Natural Medicine of NM - Producer,318,2022-11-03-214406
80079,Natural Rx,46,2022-11-03-214406
220025,Natures Trichoma Garden,71,2022-11-03-214406
220196,New Beginnings - Juniper Ave Production,34,2022-11-03-214406
41,New Mexico Alternative Care,1887,2022-11-03-214406
220336001,NJ Farms LLC - Stiles Rd Production,131,2022-11-03-214406
220313,Ojos Rojos Cannabis LLC - Ojo Sarco Production,17,2022-11-03-214406
P0005001,Organ Mountain Wellness LLC - Producer,165,2022-11-03-214406
220317,Organic Plant Pros LLC - CR 3000 Production,194,2022-11-03-214406
3055,Organtica - Production,147,2022-11-03-214406
220008001,Oryx King- Production,956,2022-11-03-214406
220447001,Paisaje Verde Inc - Stanley Production,7009,2022-11-03-214406
P0030001,Panacea Growers LLC - Bataan Production,1,2022-11-03-214406
3047,Pecos Valley - Production,3730,2022-11-03-214406
220061,Phat Boy Pharms LLC,104,2022-11-03-214406
220474001,Potato Road LLC - Potato Shed Rd Production,1192,2022-11-03-214406
P0012001,Primos Raw Organics - CR 6 Production,1640,2022-11-03-214406
220361001,Process Management Control,223,2022-11-03-214406
220004999,Process Management Control Production,1,2022-11-03-214406
2200040D,Process Management Controls- Production location-DUPLICATE DO NOT USE,648,2022-11-03-214406
3051,PurLife,269,2022-11-03-214406
4024,PurLife - PRODUCER  OUTDOOR,296,2022-11-03-214406
220222,Purpleprodigyy LLC - Quay Rd Production,114,2022-11-03-214406
220481,PV Farms - Lakeview Producer,204,2022-11-03-214406
220768,Rainwater Flowers LLC- Producer,25,2022-11-03-214406
22049,Ras Ible Cannabis - Lou Producer,11,2022-11-03-214406
220238001,RGC Growers LLC,269,2022-11-03-214406
220511001,Righteous Herb Ltd Co - Rd 4800 Production,403,2022-11-03-214406
220003001,Rio Grande Farmaceuticals LLC- production,507,2022-11-03-214406
220415,Rio Puerco Organics - Hwy 550 Production,130,2022-11-03-214406
220169,Rising Roots LLC - Entranosa Production,81,2022-11-03-214406
P0025001,Road Runner Organics LLC - Entrada Aragon Production,329,2022-11-03-214406
220016,Roadrunner Manufacturing,79,2022-11-03-214406
220589001,Rooster Production LLC - Murray Rd Production,8,2022-11-03-214406
220124001,Royal Cannabis LLC - San Benito Production,10,2022-11-03-214406
